노선,노선,노선,운항(편),여객(명),화물(톤)
0,전체 합계,,"384,540","67,945,520","3,912,481"
1,인천(ICN),김해(PUS),"2,062","224,189","4,196"
2,인천(ICN),제주(CJU),4,248,28
3,인천(ICN),대구(TAE),727,"44,917",876
4,인천(ICN),양양(YNY),1,19,1
5,인천(ICN),계림(KWL),523,"61,097",672
6,인천(ICN),고마스(KMQ),304,"40,140",935
7,인천(ICN),골드코스트(OOL),4,681,10
8,인천(ICN),과달라하라(GDL),356,0,"14,755"
9,인천(ICN),괌(GUM),"5,945","1,194,474","17,408"
10,인천(ICN),광저우(CAN),"4,404","676,078","105,139"
11,인천(ICN),구마모도(KMJ),724,"108,090","1,135"
12,인천(ICN),구시로(KUH),8,"1,068",13
13,인천(ICN),구이양(KWE),207,"17,607",241
14,인천(ICN),끄라비(KBV),44,"10,684",119
15,인천(ICN),나가사키(NGS),314,"39,841",302
16,인천(ICN),나고야(NGO),"4,670","829,936","43,640"
17,인천(ICN),나디(NAN),313,"48,111","1,800"
18,인천(ICN),나보이(NVI),3,0,"1,210"
19,인천(ICN),나트랑캄란(CXR),"2,152","343,246","3,678"
20,인천(ICN),난링(NNG),136,"8,526",125
21,인천(ICN),난징(NKG),"1,458","214,216","4,589"
22,인천(ICN),노보시비르스크(OVB),227,"32,038",584
23,인천(ICN),누크스(NCU),2,386,19
24,인천(ICN),뉴왁(EWR),9,0,0
25,인천(ICN),뉴욕(JFK),"3,450","767,833","87,227"
26,인천(ICN),니이가타(KIJ),346,"41,965",628
27,인천(ICN),다가마스(TAK),521,"80,655",634
28,인천(ICN),다낭(DAD),"12,108","2,466,058","30,972"
29,인천(ICN),다윈(DRW),1,0,10
30,인천(ICN),달라스(DFW),"1,267","299,509","39,699"
31,인천(ICN),달랏(DLI),20,"2,419",44
32,인천(ICN),대련(DLC),"4,011","587,822","18,246"
33,인천(ICN),대북(TPE),"8,689","2,448,559","86,750"
34,인천(ICN),덴파사(DPS),"1,493","304,420","8,647"
35,인천(ICN),델리(DEL),"1,140","224,925","12,051"
36,인천(ICN),도모데도보(DME),10,0,"4,121"
37,인천(ICN),도야마(TOY),200,"31,483",264
38,인천(ICN),도하(DOH),"1,232","243,639","57,119"
39,인천(ICN),돈무앙(DMK),"1,756","565,050","14,442"
40,인천(ICN),동경(NRT),"14,587","2,722,355","185,923"
41,인천(ICN),두바이(DXB),"1,491","461,705","19,982"
42,인천(ICN),디트로이트(DTW),719,"204,416","10,425"
43,인천(ICN),따이쭝(RMQ),706,"97,874","1,112"
44,인천(ICN),라스베가스(LAS),533,"121,870","6,892"
45,인천(ICN),라이프치히(LEJ),65,0,"21,540"
46,인천(ICN),랑군(RGN),730,"121,757","5,260"
47,인천(ICN),램스타인(RMS),1,0,0
48,인천(ICN),런던히드로(LHR),"2,180","525,766","36,045"
49,인천(ICN),레닌그라드(LED),236,"43,342","1,210"
50,인천(ICN),로그 밸리 인터네셔널 메드퍼드(MFR),1,0,0
51,인천(ICN),로마(FCO),"1,631","421,234","19,042"
52,인천(ICN),로스앤젤레스(LAX),"4,913","1,134,157","148,301"
53,인천(ICN),루앙프라방(LPQ),8,873,11
54,인천(ICN),루이즈빌(SDF),658,0,1
55,인천(ICN),룩셈부르크(LUX),314,0,"14,892"
56,인천(ICN),마닐라(MNL),"6,850","1,750,228","70,120"
57,인천(ICN),마드리드(MAD),376,"81,850","5,717"
58,인천(ICN),마르세이유-프로방스(MRS),14,"2,357",44
59,인천(ICN),마이애미(MIA),78,0,"20,044"
60,인천(ICN),마즈야마(MYJ),386,"64,367",505
61,인천(ICN),마카오(MFM),"3,777","619,860","7,554"
62,인천(ICN),말레(MLE),314,"25,931",528
63,인천(ICN),메만베츠(MMB),6,944,9
64,인천(ICN),멕시코(MEX),415,"75,027","4,458"
65,인천(ICN),멜보른(MEL),2,0,0
66,인천(ICN),멤피스(MEM),"1,097",0,"3,986"
67,인천(ICN),모스코바(SVO),"1,971","344,970","43,889"
68,인천(ICN),몬테레이(MTY),1,"5,171",176
